time,low,high,open,close,volume
2022-04-06,3.031,3.6,3.5,3.255,3617675.551
2022-04-07,3.11,3.719,3.255,3.466,10919922.717
2022-04-08,3.141,3.529,3.467,3.247,4965506.893
2022-04-09,3.14,3.338,3.248,3.238,1606548.493
2022-04-10,2.905,3.247,3.238,2.978,2208663.24
2022-04-11,2.535,2.976,2.976,2.555,2513424.371
2022-04-12,2.348,2.68,2.557,2.405,2856900.484
2022-04-13,2.273,2.556,2.406,2.523,1745819.817
2022-04-14,2.286,2.627,2.521,2.304,1499150.906
2022-04-15,2.261,2.378,2.305,2.333,1294313.019
2022-04-16,2.303,2.496,2.335,2.415,1586745.188
2022-04-17,2.264,2.429,2.416,2.277,1105513.924
2022-04-18,2.168,2.428,2.277,2.392,1133045.617
2022-04-19,2.327,2.496,2.393,2.444,1157370.392
2022-04-20,2.37,2.6,2.442,2.421,1518046.095
2022-04-21,2.298,2.563,2.423,2.316,1013797.331
2022-04-22,2.254,2.43,2.313,2.295,725104.742
2022-04-23,2.218,2.315,2.293,2.252,605481.149
2022-04-24,2.153,2.294,2.252,2.182,496651.498
2022-04-25,1.982,2.266,2.181,2.24,1298566.394
2022-04-26,1.905,2.277,2.241,1.957,1806815.804
2022-04-27,1.949,2.101,1.958,2.013,965721.676
2022-04-28,1.98,2.091,2.012,2.009,966746.785
2022-04-29,1.858,2.026,2.008,1.866,919951.262
2022-04-30,1.662,1.911,1.865,1.703,839593.189
2022-05-01,1.661,1.827,1.702,1.799,938529.58
2022-05-02,1.72,1.933,1.796,1.816,1104756.454
2022-05-03,1.738,1.927,1.815,1.768,535292.186
2022-05-04,1.764,2.034,1.769,2.018,907905.671
2022-05-05,1.725,2.12,2.019,1.787,888642.157
2022-05-06,1.714,1.904,1.784,1.83,621801.135
2022-05-07,1.651,1.846,1.824,1.714,481071.529
2022-05-08,1.6,1.732,1.715,1.647,519231.962
2022-05-09,1.349,1.659,1.647,1.359,961030.548
2022-05-10,1.334,1.622,1.362,1.434,1205318.234
2022-05-11,0.926,1.475,1.441,0.991,1886847.827
2022-05-12,0.791,1.138,0.996,0.946,1766845.151
2022-05-13,0.937,1.222,0.952,1.043,1544498.172
2022-05-14,0.932,1.1,1.047,1.095,1188335.397
2022-05-15,1.025,1.162,1.096,1.155,673115.198
2022-05-16,1.015,1.155,1.155,1.046,744315.206
2022-05-17,1.043,1.125,1.044,1.102,313597.543
2022-05-18,0.975,1.134,1.106,0.989,576053.724
2022-05-19,0.946,1.065,0.991,1.039,495981.089
2022-05-20,0.961,1.073,1.036,0.983,632638.084
2022-05-21,0.97,1.038,0.987,1.011,163547.562
2022-05-22,0.991,1.047,1.012,1.014,390155.19
2022-05-23,0.978,1.07,1.013,0.978,572979.441
2022-05-24,0.949,1.097,0.983,1.018,635549.794
2022-05-25,0.97,1.033,1.018,0.976,559524.565
2022-05-26,0.842,0.993,0.975,0.854,905931.803
2022-05-27,0.803,0.873,0.854,0.811,764478.528
2022-05-28,0.806,0.854,0.811,0.84,316137.11
2022-05-29,0.813,0.911,0.84,0.89,288518.06
2022-05-30,0.876,0.993,0.888,0.983,808144.002
2022-05-31,0.927,0.999,0.983,0.957,641666.23
2022-06-01,0.851,0.967,0.957,0.868,407402.382
2022-06-02,0.833,0.889,0.866,0.874,439439.177
2022-06-03,0.816,0.876,0.874,0.847,527967.449
2022-06-04,0.817,0.852,0.846,0.845,165890.092
2022-06-05,0.825,0.859,0.846,0.838,238526.811
2022-06-06,0.837,0.923,0.838,0.87,347207.594
2022-06-07,0.814,0.888,0.868,0.855,969075.61
2022-06-08,0.828,0.875,0.854,0.838,420075.279
2022-06-09,0.82,0.864,0.84,0.827,243295.35
2022-06-10,0.761,0.849,0.827,0.764,432720.195
2022-06-11,0.7,0.811,0.764,0.72,1062042.119
2022-06-12,0.627,0.723,0.722,0.628,1184134.364
2022-06-13,0.558,0.672,0.629,0.659,1513089.95
2022-06-14,0.598,0.693,0.659,0.655,1381703.631
2022-06-15,0.585,0.697,0.654,0.692,774078.317
2022-06-16,0.587,0.699,0.693,0.595,742725.86
2022-06-17,0.589,0.63,0.594,0.608,426218.498
2022-06-18,0.545,0.616,0.605,0.578,479724.099
2022-06-19,0.548,0.632,0.576,0.623,290955.539
2022-06-20,0.599,0.643,0.623,0.623,285814.776
2022-06-21,0.616,0.679,0.625,0.639,329778.695
2022-06-22,0.601,0.644,0.639,0.607,320403.711
2022-06-23,0.605,0.648,0.609,0.643,259811.875
2022-06-24,0.624,0.682,0.646,0.668,460974.796
2022-06-25,0.661,0.803,0.669,0.742,1519824.983
2022-06-26,0.675,0.746,0.742,0.677,274998.778
2022-06-27,0.666,0.719,0.675,0.686,301385.065
2022-06-28,0.647,0.707,0.685,0.652,173582.523
2022-06-29,0.616,0.667,0.65,0.624,319887.554
2022-06-30,0.578,0.628,0.625,0.614,528757.153
2022-07-01,0.597,0.637,0.615,0.609,307901.206
2022-07-02,0.599,0.628,0.608,0.62,228491.887
2022-07-03,0.604,0.625,0.621,0.62,235619.31
2022-07-04,0.607,0.656,0.618,0.648,209917.77
2022-07-05,0.62,0.679,0.648,0.65,379116.262
2022-07-06,0.639,0.71,0.652,0.669,597238.161
2022-07-07,0.668,0.735,0.671,0.71,654303.738
2022-07-08,0.668,0.728,0.708,0.681,487406.382
2022-07-09,0.676,0.707,0.68,0.696,211191.437
2022-07-10,0.655,0.696,0.695,0.671,203768.248
2022-07-11,0.64,0.711,0.671,0.647,274942.982
2022-07-12,0.63,0.688,0.645,0.63,812556.607
2022-07-13,0.601,0.66,0.631,0.657,247170.381
2022-07-14,0.632,0.673,0.659,0.67,339647.902
2022-07-15,0.659,0.687,0.67,0.669,226877.931
2022-07-16,0.65,0.696,0.667,0.689,242904.341
2022-07-17,0.666,0.695,0.689,0.67,212755.736
2022-07-18,0.669,0.729,0.67,0.718,366630.863
2022-07-19,0.698,0.86,0.719,0.791,1492567.134
2022-07-20,0.722,0.83,0.792,0.729,733016.376
2022-07-21,0.694,0.761,0.73,0.735,529253.196
2022-07-22,0.716,0.789,0.736,0.721,626359.647
2022-07-23,0.715,0.763,0.721,0.735,780246.132
2022-07-24,0.728,0.776,0.735,0.745,562498.765
2022-07-25,0.661,0.749,0.746,0.672,737611.905
2022-07-26,0.63,0.673,0.672,0.661,269796.72
2022-07-27,0.645,0.723,0.663,0.72,672359.189
2022-07-28,0.713,0.772,0.721,0.754,815086.841
2022-07-29,0.734,0.795,0.756,0.759,624043.271
2022-07-30,0.759,0.857,0.759,0.793,847052.831
2022-07-31,0.767,0.83,0.794,0.771,696345.573
2022-08-01,0.745,0.8,0.77,0.791,592240.13
2022-08-02,0.74,0.799,0.789,0.776,663270.272
2022-08-03,0.752,0.828,0.778,0.79,671982.463
2022-08-04,0.773,0.816,0.792,0.783,515708.447
2022-08-05,0.78,0.885,0.782,0.847,765268.326
2022-08-06,0.833,0.893,0.846,0.839,943973.913
2022-08-07,0.816,0.862,0.839,0.859,304511.218
2022-08-08,0.85,0.928,0.859,0.901,1223485.802
