,id,display_name,fx_stablecoin,max_slippage_percentage,status
0,BTC-USDC,BTC/USDC,False,0.03000000,delisted
1,FLOW-USD,FLOW/USD,False,0.03000000,online
2,ZEC-USDC,ZEC/USDC,False,0.03000000,delisted
3,XYO-USD,XYO/USD,False,0.03000000,online
4,WCFG-USDT,WCFG/USDT,False,0.03000000,online
5,YFI-USD,YFI/USD,False,0.03000000,online
6,GRT-USD,GRT/USD,False,0.03000000,online
7,NMR-GBP,NMR/GBP,False,0.03000000,online
8,ANT-USD,ANT/USD,False,0.03000000,online
9,TRAC-EUR,TRAC/EUR,False,0.03000000,online
10,ENS-USDT,ENS/USDT,False,0.03000000,online
11,FET-USDT,FET/USDT,False,0.03000000,online
12,PAX-USD,PAX/USD,True,0.01000000,online
13,RLY-EUR,RLY/EUR,False,0.05000000,delisted
14,LTC-USD,LTC/USD,False,0.03000000,online
15,BTC-USDT,BTC/USDT,False,0.03000000,online
16,BADGER-USD,BADGER/USD,False,0.03000000,online
17,LCX-EUR,LCX/EUR,False,0.03000000,online
18,BAL-BTC,BAL/BTC,False,0.03000000,online
19,ZEN-USDT,ZEN/USDT,False,0.03000000,online
20,AAVE-GBP,AAVE/GBP,False,0.03000000,online
21,ZEN-BTC,ZEN/BTC,False,0.03000000,online
22,ZRX-BTC,ZRX/BTC,False,0.03000000,online
23,DOT-EUR,DOT/EUR,False,0.03000000,online
24,GMT-USD,GMT/USD,False,0.03000000,online
25,ZRX-USD,ZRX/USD,False,0.03000000,online
26,MINA-USDT,MINA/USDT,False,0.03000000,online
27,NKN-EUR,NKN/EUR,False,0.03000000,online
28,RLY-USDT,RLY/USDT,False,0.05000000,delisted
29,ETC-BTC,ETC/BTC,False,0.03000000,online
30,EOS-USD,EOS/USD,False,0.03000000,online
31,UPI-USDT,UPI/USDT,False,0.03000000,delisted
32,TRB-USD,TRB/USD,False,0.03000000,online
33,BCH-GBP,BCH/GBP,False,0.03000000,online
34,MATIC-BTC,MATIC/BTC,False,0.03000000,online
35,OCEAN-USD,OCEAN/USD,False,0.03000000,online
36,RLC-USD,RLC/USD,False,0.03000000,online
37,MSOL-USD,MSOL/USD,False,0.03000000,online
38,MONA-USD,MONA/USD,False,0.05000000,online
39,QNT-USDT,QNT/USDT,False,0.03000000,online
40,PRO-USD,PRO/USD,False,0.05000000,online
41,RAD-USDT,RAD/USDT,False,0.03000000,online
42,AURORA-USD,AURORA/USD,False,0.03000000,online
43,1INCH-USD,1INCH/USD,False,0.03000000,online
44,ETC-USD,ETC/USD,False,0.03000000,online
45,HOPR-USDT,HOPR/USDT,False,0.03000000,online
46,KNC-BTC,KNC/BTC,False,0.03000000,online
47,LSETH-USD,LSETH/USD,False,0.03000000,online
48,ASM-USD,ASM/USD,False,0.03000000,online
49,IDEX-USD,IDEX/USD,False,0.03000000,online
50,NEST-USDT,NEST/USDT,False,0.03000000,online
51,BNT-GBP,BNT/GBP,False,0.03000000,delisted
52,ACS-USD,ACS/USD,False,0.03000000,online
53,SUSHI-USD,SUSHI/USD,False,0.03000000,online
54,CTX-USDT,CTX/USDT,False,0.05000000,online
55,EUROC-EUR,EUROC/EUR,True,0.01000000,online
56,ARPA-EUR,ARPA/EUR,False,0.03000000,online
57,ADA-GBP,ADA/GBP,False,0.03000000,online
